generation,avg_prey_survival,max_prey_survival,total_food,avg_predator_kills,max_predator_kills,total_kills,avg_prey_nodes,avg_prey_connections,avg_pred_nodes,avg_pred_connections,alive_prey_end,alive_pred_end,best_prey_raw_fitness,best_predator_raw_fitness,config_food_count,config_food_generation_frames,config_fps,config_generations,config_height,config_max_frames,config_pred_attack_cooldown,config_pred_hunger_cons,config_pred_max_energy,config_pred_max_hunger,config_pred_radius,config_pred_speed,config_pred_sprint_speed,config_prey_danger_radius,config_prey_hunger_cons,config_prey_max_energy,config_prey_max_hunger,config_prey_radius,config_prey_speed,config_prey_sprint_speed,config_render_n,config_width,config_prey_pop_size,config_predator_pop_size
1,217.4,450,17,2.4,4,24,3.0,87.0,3.0,87.0,0,6,7068.05,1209.72,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
2,220.98,600,28,2.7,3,27,3.02,86.58,3.0,86.7,1,0,9796.74,1209.72,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
3,226.54,354,31,2.0,4,20,3.06,85.4,3.0,85.5,0,8,9796.74,8117.35,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
4,232.76,531,40,2.6,4,26,3.02,84.72,3.0,84.4,0,7,9796.74,8117.35,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
5,243.74,538,38,2.2,3,22,3.0,83.28,3.0,85.7,0,4,9796.74,8117.35,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
6,256.96,600,55,2.2,4,22,3.02,81.56,3.0,85.5,3,3,25055.26,8117.35,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
7,220.78,492,40,2.8,5,28,3.02,77.48,3.0,84.8,0,8,25055.26,8117.35,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
8,262.08,600,48,2.0,4,20,3.04,74.36,3.0,84.2,2,4,25055.26,8117.35,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
9,259.06,600,51,2.4,4,24,3.08,71.08,3.0,83.4,1,6,32985.22,8117.35,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
10,265.26,580,47,1.8,3,18,3.0,69.36,3.0,82.4,0,2,32985.22,8259.67,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
